rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
106,4月16日,4月15日,159,74,img/2013 (106).jpg,135,48,img/2014 (106).jpg,68,20,img/2015 (106).jpg,57,40,img/2016 (106).jpg,161,89,img/2017 (106).jpg,86,42,img/2018 (106).jpg
107,4月17日,4月16日,61,45,img/2013 (107).jpg,118,89,img/2014 (107).jpg,120,51,img/2015 (107).jpg,39,27,img/2016 (107).jpg,240,190,img/2017 (107).jpg,133,62,img/2018 (107).jpg
108,4月18日,4月17日,21,9,img/2013 (108).jpg,142,109,img/2014 (108).jpg,182,115,img/2015 (108).jpg,26,11,img/2016 (108).jpg,69,12,img/2017 (108).jpg,111,70,img/2018 (108).jpg
109,4月19日,4月18日,78,51,img/2013 (109).jpg,42,59,img/2014 (109).jpg,159,71,img/2015 (109).jpg,24,15,img/2016 (109).jpg,116,35,img/2017 (109).jpg,203,153,img/2018 (109).jpg
110,4月20日,4月19日,148,92,img/2013 (110).jpg,126,96,img/2014 (110).jpg,126,96,img/2015 (110).jpg,89,66,img/2016 (110).jpg,191,144,img/2017 (110).jpg,267,217,img/2018 (110).jpg
111,4月21日,4月20日,188,151,img/2013 (111).jpg,59,42,img/2014 (111).jpg,82,60,img/2015 (111).jpg,74,54,img/2016 (111).jpg,56,22,img/2017 (111).jpg,133,101,img/2018 (111).jpg
112,4月22日,4月21日,205,165,img/2013 (112).jpg,64,46,img/2014 (112).jpg,89,66,img/2015 (112).jpg,160,122,img/2016 (112).jpg,92,41,img/2017 (112).jpg,23,9,img/2018 (112).jpg
113,4月23日,4月22日,277,203,img/2013 (113).jpg,146,112,img/2014 (113).jpg,89,66,img/2015 (113).jpg,66,39,img/2016 (113).jpg,64,14,img/2017 (113).jpg,23,16,img/2018 (113).jpg
114,4月24日,4月23日,168,125,img/2013 (114).jpg,150,115,img/2014 (114).jpg,109,53,img/2015 (114).jpg,37,11,img/2016 (114).jpg,134,102,img/2017 (114).jpg,43,24,img/2018 (114).jpg
115,4月25日,4月24日,15,9,img/2013 (115).jpg,155,118,img/2014 (115).jpg,148,113,img/2015 (115).jpg,86,64,img/2016 (115).jpg,25,11,img/2017 (115).jpg,75,39,img/2018 (115).jpg
116,4月26日,4月25日,145,83,img/2013 (116).jpg,38,26,img/2014 (116).jpg,159,121,img/2015 (116).jpg,90,67,img/2016 (116).jpg,43,18,img/2017 (116).jpg,150,115,img/2018 (116).jpg
117,4月27日,4月26日,123,62,img/2013 (117).jpg,73,53,img/2014 (117).jpg,124,88,img/2015 (117).jpg,105,79,img/2016 (117).jpg,38,11,img/2017 (117).jpg,107,47,img/2018 (117).jpg
118,4月28日,4月27日,159,94,img/2013 (118).jpg,105,79,img/2014 (118).jpg,65,47,img/2015 (118).jpg,115,87,img/2016 (118).jpg,52,19,img/2017 (118).jpg,88,37,img/2018 (118).jpg
119,4月29日,4月28日,34,24,img/2013 (119).jpg,103,77,img/2014 (119).jpg,173,131,img/2015 (119).jpg,132,101,img/2016 (119).jpg,81,36,img/2017 (119).jpg,247,197,img/2018 (119).jpg
120,4月30日,4月29日,20,14,img/2013 (120).jpg,139,106,img/2014 (120).jpg,155,111,img/2015 (120).jpg,58,41,img/2016 (120).jpg,178,46,img/2017 (120).jpg,65,22,img/2018 (120).jpg
121,5月1日,4月30日,67,45,img/2013 (121).jpg,185,139,img/2014 (121).jpg,205,155,img/2015 (121).jpg,282,232,img/2016 (121).jpg,84,35,img/2017 (121).jpg,427,108,img/2018 (121).jpg
